username,tweet_text_element
Swadesh Kumar Moharana,"We finally have more derails about the Xiaomi SU7.

It will be produced by Beijing automotive. (Which, probably will be the name we get it as) 

Wheel dimensions are:  19″ and 20″; tire specifications are 245/45 R19 and 245/40 R20, respectively. (1/2)"
James D. Wong,"I love Apple, but the news of Xiaomi bringing out their “iCar” made me think that the American icon has now fallen behind."
Canadian Jennifer,"Xiaomi Unveils SU7, Targeting Tesla and Porsche in the EV Arena 

https://driveteslacanada.ca/news/xiaomi-unveils-su7-targeting-tesla-and-porsche-in-the-ev-arena/…."
"China EV, Engineering & Life","So the Xiaomi Redmi Note 13 series is ""launching in spring 2024""? We've got this advertorial running right now which says Media Markt has them on today... don't think it gets more official than that...."
Sneha Tainwala,"Xiaomi 14 or OnePlus 12,which one "
Jim Harris,"Xiaomi Unveils SU7, Targeting Tesla and Porsche in the EV Arena 

https://driveteslacanada.ca/news/xiaomi-unveils-su7-targeting-tesla-and-porsche-in-the-ev-arena/…."
Bevin Chu 朱炳文,"So the Xiaomi Redmi Note 13 series is ""launching in spring 2024""? We've got this advertorial running right now which says Media Markt has them on today... don't think it gets more official than that...."
Samuel Wong,"I love Apple, but the news of Xiaomi bringing out their “iCar” made me think that the American icon has now fallen behind."
SAK786,"Xiaomi 14 or OnePlus 12,which one "
Jaan of the EV Universe,Smartphone Giant Xiaomi Officially Reveals Its First EV! Meet The Xiaomi SU7
Thematica,"So the Xiaomi Redmi Note 13 series is ""launching in spring 2024""? We've got this advertorial running right now which says Media Markt has them on today... don't think it gets more official than that...."
Mxrgarita.,"Xiaomi Unveils SU7, Targeting Tesla and Porsche in the EV Arena 

https://driveteslacanada.ca/news/xiaomi-unveils-su7-targeting-tesla-and-porsche-in-the-ev-arena/…."
Josh Ye,"So the Xiaomi Redmi Note 13 series is ""launching in spring 2024""? We've got this advertorial running right now which says Media Markt has them on today... don't think it gets more official than that...."
Aryan Gupta,Smartphone Giant Xiaomi Officially Reveals Its First EV! Meet The Xiaomi SU7
Drive Tesla,"Xiaomi Unveils SU7, Targeting Tesla and Porsche in the EV Arena 

https://driveteslacanada.ca/news/xiaomi-unveils-su7-targeting-tesla-and-porsche-in-the-ev-arena/…."
Swadesh Kumar Moharana,"I love Apple, but the news of Xiaomi bringing out their “iCar” made me think that the American icon has now fallen behind."
Waivly,"Xiaomi Unveils SU7, Targeting Tesla and Porsche in the EV Arena 

https://driveteslacanada.ca/news/xiaomi-unveils-su7-targeting-tesla-and-porsche-in-the-ev-arena/…."
Carol Davey,"There will alway be companies dominating gadgets...before it was Nokia then Xiaomi, now it will be someone else.....and in just 8 years it's not good to say grew using... 
U just forgot abot crores of illegal transaction .."
Dej,Smartphone Giant Xiaomi Officially Reveals Its First EV! Meet The Xiaomi SU7
Lei Jun,"#China has moved on to the next-next generation of cars — electric vehicles (EV) with same apps as smartphones. 

Following that will be self-driving cars, connected to the internet. 

Huawei and Xiaomi have cars with their own operating systems. 

Software, the brain, will be…"
Allan Jacob,"We finally have more derails about the Xiaomi SU7.

It will be produced by Beijing automotive. (Which, probably will be the name we get it as) 

Wheel dimensions are:  19″ and 20″; tire specifications are 245/45 R19 and 245/40 R20, respectively. (1/2)"
FORTUNE,"So the Xiaomi Redmi Note 13 series is ""launching in spring 2024""? We've got this advertorial running right now which says Media Markt has them on today... don't think it gets more official than that...."
SammiiCake,"I love Apple, but the news of Xiaomi bringing out their “iCar” made me think that the American icon has now fallen behind."
Asante Mokhuoa,"As we enter the last day of 2023 - 
This is my new year resolution - whats yours?

#SuperNote #RedmiNote13 #Xiaomi"
Anir Chakraborty,"As we enter the last day of 2023 - 
This is my new year resolution - whats yours?

#SuperNote #RedmiNote13 #Xiaomi"
Roland Quandt,"There will alway be companies dominating gadgets...before it was Nokia then Xiaomi, now it will be someone else.....and in just 8 years it's not good to say grew using... 
U just forgot abot crores of illegal transaction .."
Lu-Allen,"We finally have more derails about the Xiaomi SU7.

It will be produced by Beijing automotive. (Which, probably will be the name we get it as) 

Wheel dimensions are:  19″ and 20″; tire specifications are 245/45 R19 and 245/40 R20, respectively. (1/2)"
