username,tweet_text_element
william,My retro stand in the early stages of being hooked up....Wii U and OG Xbox adding to shelf soon. Then In a few more months maybe a wii. #RetroGaming #Retro #NES #SNES #GameCube #Atari2600
Triana.bsky.social,"I'm saying it's a bad argument by 
@DestinLegarie
 cuz he saying that 3rd party games coming to Xbox are equivalent to Xbox 1st party games going to PS. Those 3rd party games should already be on Xbox but Sony pays for that exclusivity. PS or PC are the defacto, Xbox is irrelevant"
IGN Deals,"I'm saying it's a bad argument by 
@DestinLegarie
 cuz he saying that 3rd party games coming to Xbox are equivalent to Xbox 1st party games going to PS. Those 3rd party games should already be on Xbox but Sony pays for that exclusivity. PS or PC are the defacto, Xbox is irrelevant"
Tonys_Write,My retro stand in the early stages of being hooked up....Wii U and OG Xbox adding to shelf soon. Then In a few more months maybe a wii. #RetroGaming #Retro #NES #SNES #GameCube #Atari2600
Charlie Hustle,"SUDS N BUDS!  Want a chance to win an Xbox, PS5, Switch or gaming PC?!  Every dollar you donate to 
@akidagain
 at this link: 

https://donate.tiltify.com/0b81c398-5113-469f-856a-fc8cc5b5a342…

is an entry into a chance to win! We will draw winners at the 24 hour live stream in April!
@Lazarus
http://twitch.tv/flakeofwrath"
CJ,"I'm saying it's a bad argument by 
@DestinLegarie
 cuz he saying that 3rd party games coming to Xbox are equivalent to Xbox 1st party games going to PS. Those 3rd party games should already be on Xbox but Sony pays for that exclusivity. PS or PC are the defacto, Xbox is irrelevant"
Bribeecool10,"New Cadillac Racing ATS-V.R

#forzamotorsport #xbox"
Thiago Motorsport,"New Cadillac Racing ATS-V.R

#forzamotorsport #xbox"
Darrius Fears,simpol somebody pmu on xbox
ＢＯＬＴ ✘,"New Cadillac Racing ATS-V.R

#forzamotorsport #xbox"
Razz,simpol somebody pmu on xbox
GoogalyBoyThe10th,"SUDS N BUDS!  Want a chance to win an Xbox, PS5, Switch or gaming PC?!  Every dollar you donate to 
@akidagain
 at this link: 

https://donate.tiltify.com/0b81c398-5113-469f-856a-fc8cc5b5a342…

is an entry into a chance to win! We will draw winners at the 24 hour live stream in April!
@Lazarus
http://twitch.tv/flakeofwrath"
