username,tweet_text_element
CA Akhil Agarwal,Advertisement level by zomato.#zomato
Sidd,Advertisement level by zomato.#zomato
Eurasian Shark,"Zomato’s hoarding on what to do in Bandra : Stand outside Mannat!
Stardom level: SHAH RUKH KHAN! 
@iamsrk
 @zomato
 
#ShahRukhKhan #SRK #Mannat #Bandra #Zomato"
chhavi,Advertisement level by zomato.#zomato
chhavi,"I order food from zomato almost twice a day . average 50 times a month still they scammed me ,i ordered some food but when the food reached my doorstep delivery partner didn’t call me and canceled  my food 
@zomato"
Umesh gupta,Advertisement level by zomato.#zomato
Sidd,"I order food from zomato almost twice a day . average 50 times a month still they scammed me ,i ordered some food but when the food reached my doorstep delivery partner didn’t call me and canceled  my food 
@zomato"
Commissioner of Police Amritsar,"I order food from zomato almost twice a day . average 50 times a month still they scammed me ,i ordered some food but when the food reached my doorstep delivery partner didn’t call me and canceled  my food 
@zomato"
CA Akhil Agarwal,"I order food from zomato almost twice a day . average 50 times a month still they scammed me ,i ordered some food but when the food reached my doorstep delivery partner didn’t call me and canceled  my food 
@zomato"
Arin Verma,"Zomato’s hoarding on what to do in Bandra : Stand outside Mannat!
Stardom level: SHAH RUKH KHAN! 
@iamsrk
 @zomato
 
#ShahRukhKhan #SRK #Mannat #Bandra #Zomato"
Shah Rukh Khan Universe Fan Club,"Zomato’s hoarding on what to do in Bandra : Stand outside Mannat!
Stardom level: SHAH RUKH KHAN! 
@iamsrk
 @zomato
 
#ShahRukhKhan #SRK #Mannat #Bandra #Zomato"
Abhijit Chokshi | Investors का दोस्त,Advertisement level by zomato.#zomato
Commissioner of Police Amritsar,Advertisement level by zomato.#zomato
